
10 2 33 2,082437275985663 2 0,16666666666666666 0
10 3 2 5,482926829268293 6 0,4 0
10 4 2 4,158730158730159 6 0,21428571428571427 0
10 5 1 6,4434389140271495 5 0,20833333333333334 0
10 6 3 10,899543378995434 10 0,30303030303030304 0
10 7 3 17,857142857142858 14 0,4827586206896552 0
10 8 4 6,686006825938566 16 0,48484848484848486 0
10 9 7 12,429657794676807 15 0,26785714285714285 1
10 10 6 18,043478260869566 16 0,32653061224489793 0
20 2 2 3,307142857142857 7 0,2692307692307692 0
20 3 3 5,188811188811189 11 0,2682926829268293 0
20 4 5 8,360995850622407 19 0,48717948717948717 1
20 5 8 7,3991031390134525 18 0,28125 0
20 6 12 8,362962962962962 26 0,37142857142857144 0
20 7 14 14,36111111111111 30 0,4411764705882353 7
20 8 17 11,808429118773946 37 0,5138888888888888 4
20 9 31 15,382671480144404 47 0,5053763440860215 2
20 10 20 14,697916666666666 41 0,35964912280701755 5
30 2 2 3,409556313993174 14 0,35 0
30 3 4 5,853571428571429 18 0,35294117647058826 0
30 4 8 8,56993006993007 31 0,5 1
30 5 9 8,765799256505575 38 0,5066666666666667 7
30 6 17 13,952542372881355 47 0,47959183673469385 0
30 7 24 18,571428571428573 52 0,4727272727272727 6
30 8 24 25,953237410071942 55 0,45454545454545453 2
30 9 43 14,97090909090909 59 0,4013605442176871 4
30 10 59 17,742049469964666 75 0,4966887417218543 17
40 2 2 3,0859106529209623 14 0,23333333333333334 0
40 3 5 5,766187050359712 18 0,20689655172413793 0
40 4 14 10,52346570397112 37 0,4111111111111111 1
40 5 26 6,750853242320819 49 0,3888888888888889 1
40 6 27 11,503623188405797 57 0,4672131147540984 3
40 7 59 11,786941580756015 63 0,3442622950819672 1
40 8 60 13,244525547445255 72 0,3769633507853403 6
40 9 72 23,554347826086957 92 0,5111111111111111 4
40 10 87 20,403389830508473 90 0,43902439024390244 12
50 2 3 3,4793103448275864 23 0,323943661971831 0
50 3 6 5,766187050359712 29 0,29591836734693877 0
50 4 15 8,184027777777779 47 0,373015873015873 2
50 5 20 12,778169014084508 59 0,39864864864864863 2
50 6 33 14,664429530201343 66 0,4024390243902439 6
50 7 48 17,102040816326532 86 0,5180722891566265 8
50 8 67 18,79930795847751 103 0,5309278350515464 3
50 9 143 20,55442176870748 110 0,39285714285714285 5
50 10 179 21,86120996441281 133 0,48717948717948717 22
60 2 4 3,9016949152542373 19 0,20652173913043478 0
60 3 10 6,598639455782313 40 0,3418803418803419 1
60 4 22 9,804878048780488 59 0,3881578947368421 0
60 5 28 10,353951890034365 63 0,36 0
60 6 82 15,234113712374581 90 0,410958904109589 6
60 7 102 13,58703071672355 95 0,37401574803149606 4
60 8 112 15,06418918918919 116 0,49572649572649574 5
60 9 209 19,02364864864865 135 0,4623287671232877 11
60 10 285 23,530201342281877 157 0,5097402597402597 13
70 2 4 4,2543554006968645 25 0,2358490566037736 0
70 3 12 7,391891891891892 49 0,3712121212121212 1
70 4 28 8,151006711409396 64 0,3657142857142857 1
70 5 59 11,457564575645756 87 0,42857142857142855 4
70 6 135 15,625 102 0,4112903225806452 1
70 7 181 13,695205479452055 117 0,4134275618374558 4
70 8 219 24,58843537414966 145 0,5160142348754448 9
70 9 369 18,116040955631398 142 0,3869209809264305 15
70 10 679 26,14864864864865 174 0,46900269541778977 11
80 2 12 5,531772575250836 29 0,25892857142857145 0
80 3 43 8,787878787878787 52 0,3443708609271523 0
80 4 91 9,772108843537415 74 0,39572192513368987 3
80 5 202 10,034843205574912 87 0,34523809523809523 1
80 6 251 16,013651877133107 107 0,37943262411347517 8
80 7 545 15,975694444444445 152 0,46060606060606063 17
80 8 976 19,00343642611684 153 0,3943298969072165 11
80 9 1394 29,06451612903226 191 0,5305555555555556 8
80 10 1762 28,037414965986393 194 0,4349775784753363 8
90 2 17 4,515679442508711 37 0,2824427480916031 0
90 3 38 7,866438356164384 61 0,3546511627906977 0
90 4 104 10,439862542955327 92 0,45544554455445546 3
90 5 326 10,849829351535837 110 0,4166666666666667 4
90 6 737 14,464882943143813 140 0,4778156996587031 5
90 7 1068 18,31313131313131 139 0,37066666666666664 10
90 8 1253 21,529824561403508 162 0,3767441860465116 5
90 9 2434 19,7864406779661 224 0,48590021691973967 24
90 10 2056 17,69047619047619 217 0,4165067178502879 27
100 2 11 4,300675675675675 38 0,2602739726027397 0
100 3 45 7,225694444444445 66 0,3384615384615385 1
100 4 94 9,496598639455783 95 0,3861788617886179 2
100 5 177 12,555183946488294 112 0,358974358974359 2
100 6 289 16,3265306122449 131 0,3864306784660767 5
100 7 518 27,501694915254237 165 0,42857142857142855 5
100 8 1040 20,28428093645485 206 0,4963855421686747 17
100 9 2326 21,996644295302012 215 0,39019963702359345 22
100 10 3323 20,99662162162162 249 0,4353146853146853 27
200 2 137 5,249158249158249 90 0,3202846975088968 0
200 3 435 9,18581081081081 130 0,31862745098039214 3
200 4 1350 10,630872483221477 193 0,38911290322580644 6
200 5 3074 16,62541806020067 241 0,4036850921273032 5
200 6 5852 21,30536912751678 302 0,43831640058055155 21
200 7 9994 20,57239057239057 348 0,42962962962962964 19
